Year,PollutantID,Pollutant_Name,PlantID,Site,Easting,Northing,Operator,SectorID,Sector,Emission,Unit,Country,Datatype
2022,21,Ammonia,2784,Chorley,360196.0,412733.0,Pincroft Dyeing & Printing Co Ltd,6.0,"Textiles, clothing, leather & footwear",0.3,Tonnes,England,M
2022,21,Ammonia,3081,Grangemouth,294351.0,680627.0,BP Oil (UK) Ltd,9.0,Processing & distribution of petroleum products,1.35,Tonnes,Scotland,O
2022,21,Ammonia,3143,Stirling,280558.0,692780.0,Superglass Insulation Ltd,4.0,Other mineral industries,70.04,Tonnes,Scotland,O
2022,21,Ammonia,3421,Edinburgh,322776.0,672426.0,Macfarlan Smith Ltd,10.0,Chemical industry,0.3,Tonnes,Scotland,M
2022,21,Ammonia,3462,Grangemouth,294800.0,681000.0,Polimeri Europa (UK) Ltd,10.0,Chemical industry,0.3,Tonnes,Scotland,M
2022,21,Ammonia,3503,Eliburn,302394.0,667223.0,Shin Etsu Handotai Europe Ltd,16.0,Electrical engineering,1.73,Tonnes,Scotland,M
2022,21,Ammonia,3510,Cupar,339150.0,715148.0,St Andrews Chemtech International Ltd,10.0,Chemical industry,0.3,Tonnes,Scotland,M
2022,21,Ammonia,3640,Grangemouth,291649.0,681450.0,Syngenta Ltd,10.0,Chemical industry,0.03,Tonnes,Scotland,O
2022,21,Ammonia,4311,Huddersfield,414790.0,417780.0,Sita (Kirkless) Ltd,21.0,"Waste collection, treatment & disposal",1.0,Tonnes,England,M
2022,21,Ammonia,4312,Leeds,428300.0,434100.0,Echem Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,4331,North Tees,452570.0,522980.0,BOC Group Plc,10.0,Chemical industry,0.01,Tonnes,England,M
2022,21,Ammonia,4346,Wells,353100.0,146600.0,Inveresk Ltd,8.0,"Paper, printing & publishing industries",3.82,Tonnes,England,M
2022,21,Ammonia,4367,Blackburn,364560.0,424940.0,Sappi (UK) Ltd,8.0,"Paper, printing & publishing industries",0.3,Tonnes,England,M
2022,21,Ammonia,4399,Swansea,268350.0,198680.0,Pure Wafer Ltd,21.0,"Waste collection, treatment & disposal",2.75,Tonnes,Wales,M
2022,21,Ammonia,4402,South Ferriby,497370.0,421040.0,Rugby Group Ltd,11.0,Cement,1.78,Tonnes,England,M
2022,21,Ammonia,4412,Heysham,340720.0,460660.0,Avocado Research Chemcials Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,4426,Ketton,498470.0,305320.0,Castle Cement Ltd,11.0,Cement,39.77,Tonnes,England,O
2022,21,Ammonia,6461,Bardon,445100.0,311760.0,Air Products Plc,10.0,Chemical industry,0.3,Tonnes,England,M
